,Albanian,Albanian-Swiss,Argentinian,Armenian,Australian,Austrian,Belgian,Bolivian,Brazilian,British,British-Dane,British-Swiss,British-US-American,British-Ukranian,Bulgarian,Canadian,Chilean,Chinese,Colombian,Costa Rican,Cuban,Czech,Dane,Danziger,Dominican,Dutch,Ecuadorian,Egyptian,Estonian,Finish,French,French-Italian,French-Swiss,German,Greek,Guatemalan,Haitian,Hondurian,Hungarian,Icelander,Indian,Iranian,Iraqi,Irish,Italian,Italian-English,Italian-Swiss,Japanese,Latvian,Latvian-Swiss,Lithuanian,Luxembourgish,Mexican,New Zealander,Norwegian,Panamanian,Paraguayan,Persian,Peruvian,Polish,Portugese,Romanian,Russian,Russian-British,Russian-Swiss,Salvadorian,Siamese,South African,Spanish,Stateless-(Ex-Russian),Swedish,Swiss,Swiss-Armenian,Swiss-British,Swiss-French,Swiss-German,Swiss-Syrian,Swiss-Yugoslav,Syrian,Thai,Turkish,US-American,Uruguayan,Venezuelan,Yugoslav
1835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919.0,0,0,0,0,2,0,6,0,0,68,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,11,0,0,0
1920.0,0,0,0,0,5,1,7,0,0,156,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,5,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,2,1,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,76,0,1,0,0,0,0,0,0,0,8,0,0,1
1921.0,0,0,0,0,1,3,6,0,0,109,0,0,0,0,1,4,0,1,0,0,0,3,4,0,0,6,0,0,0,0,67,0,0,0,2,0,0,0,0,0,1,0,0,2,11,0,1,1,1,1,0,0,0,1,3,0,0,0,1,9,0,1,2,0,0,0,0,1,1,1,4,61,0,1,1,0,0,0,0,0,1,2,2,0,4
1922.0,0,0,1,0,1,1,4,0,0,73,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,4,0,0,0,0,62,1,0,0,2,0,0,0,0,0,1,0,0,1,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,4,1,0,0,0,0,1,4,1,1,64,0,0,0,0,0,0,0,0,0,3,1,1,4
1923.0,0,1,0,0,0,6,5,0,0,58,1,1,1,0,0,1,0,1,0,0,2,2,3,0,0,0,0,0,0,1,46,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,1,2,0,0,0,0,0,1,1,1,0,0,0,4,1,2,3,0,0,0,0,0,0,0,1,58,0,1,0,0,0,0,0,0,1,5,0,0,2
1924.0,0,0,2,0,3,4,8,0,0,60,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,3,0,0,0,1,49,0,0,0,0,0,0,0,1,0,1,0,0,1,14,0,0,1,0,0,1,1,0,1,3,0,0,0,1,6,0,3,0,0,0,0,0,1,1,0,3,103,0,1,0,0,0,0,0,0,0,5,0,1,2
1925.0,0,0,0,0,0,3,7,0,0,61,0,1,1,0,0,2,1,0,1,0,0,0,2,0,0,1,0,0,0,2,49,0,0,2,2,0,0,0,1,0,1,0,0,2,15,0,2,5,0,0,1,1,0,0,2,0,0,0,0,9,1,2,0,0,0,0,0,1,0,0,2,118,0,0,0,0,0,1,0,1,0,2,0,1,1
1926.0,0,0,2,0,1,1,3,0,0,98,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,5,58,0,0,7,0,1,0,0,2,0,1,1,0,1,16,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,158,1,1,0,0,0,0,0,0,0,5,0,0,0
